Fold,Test_File,True_Label,Predicted_Label,Count
1,p_80-ner-event-preanno_NL-HaNA_1.04.02_11012_0229-0251 - 1736 -,B-CMTY_NAME,B-CMTY_NAME,862
1,p_80-ner-event-preanno_NL-HaNA_1.04.02_11012_0229-0251 - 1736 -,B-CMTY_NAME,B-CMTY_QUAL,0
1,p_80-ner-event-preanno_NL-HaNA_1.04.02_11012_0229-0251 - 1736 -,B-CMTY_NAME,B-CMTY_QUANT,0
1,p_80-ner-event-preanno_NL-HaNA_1.04.02_11012_0229-0251 - 1736 -,B-CMTY_NAME,B-DATE,0
1,p_80-ner-event-preanno_NL-HaNA_1.04.02_11012_0229-0251 - 1736 -,B-CMTY_NAME,B-DOC,2
1,p_80-ner-event-preanno_NL-HaNA_1.04.02_11012_0229-0251 - 1736 -,B-CMTY_NAME,B-ETH_REL,0
1,p_80-ner-event-preanno_NL-HaNA_1.04.02_11012_0229-0251 - 1736 -,B-CMTY_NAME,B-LOC_ADJ,0
1,p_80-ner-event-preanno_NL-HaNA_1.04.02_11012_0229-0251 - 1736 -,B-CMTY_NAME,B-LOC_NAME,5
1,p_80-ner-event-preanno_NL-HaNA_1.04.02_11012_0229-0251 - 1736 -,B-CMTY_NAME,B-None,0
1,p_80-ner-event-preanno_NL-HaNA_1.04.02_11012_0229-0251 - 1736 -,B-CMTY_NAME,B-ORG,0
1,p_80-ner-event-preanno_NL-HaNA_1.04.02_11012_0229-0251 - 1736 -,B-CMTY_NAME,B-PER_ATTR,0
1,p_80-ner-event-preanno_NL-HaNA_1.04.02_11012_0229-0251 - 1736 -,B-CMTY_NAME,B-PER_NAME,15
1,p_80-ner-event-preanno_NL-HaNA_1.04.02_11012_0229-0251 - 1736 -,B-CMTY_NAME,B-PRF,0
1,p_80-ner-event-preanno_NL-HaNA_1.04.02_11012_0229-0251 - 1736 -,B-CMTY_NAME,B-SHIP,0
1,p_80-ner-event-preanno_NL-HaNA_1.04.02_11012_0229-0251 - 1736 -,B-CMTY_NAME,B-SHIP_TYPE,23
1,p_80-ner-event-preanno_NL-HaNA_1.04.02_11012_0229-0251 - 1736 -,B-CMTY_NAME,B-STATUS,3
1,p_80-ner-event-preanno_NL-HaNA_1.04.02_11012_0229-0251 - 1736 -,B-CMTY_NAME,I-CMTY_NAME,1
1,p_80-ner-event-preanno_NL-HaNA_1.04.02_11012_0229-0251 - 1736 -,B-CMTY_NAME,I-CMTY_QUAL,0
1,p_80-ner-event-preanno_NL-HaNA_1.04.02_11012_0229-0251 - 1736 -,B-CMTY_NAME,I-CMTY_QUANT,0
1,p_80-ner-event-preanno_NL-HaNA_1.04.02_11012_0229-0251 - 1736 -,B-CMTY_NAME,I-DATE,0
1,p_80-ner-event-preanno_NL-HaNA_1.04.02_11012_0229-0251 - 1736 -,B-CMTY_NAME,I-DOC,0
1,p_80-ner-event-preanno_NL-HaNA_1.04.02_11012_0229-0251 - 1736 -,B-CMTY_NAME,I-ETH_REL,0
1,p_80-ner-event-preanno_NL-HaNA_1.04.02_11012_0229-0251 - 1736 -,B-CMTY_NAME,I-LOC_ADJ,0
1,p_80-ner-event-preanno_NL-HaNA_1.04.02_11012_0229-0251 - 1736 -,B-CMTY_NAME,I-LOC_NAME,0
1,p_80-ner-event-preanno_NL-HaNA_1.04.02_11012_0229-0251 - 1736 -,B-CMTY_NAME,I-None,0
1,p_80-ner-event-preanno_NL-HaNA_1.04.02_11012_0229-0251 - 1736 -,B-CMTY_NAME,I-ORG,0
1,p_80-ner-event-preanno_NL-HaNA_1.04.02_11012_0229-0251 - 1736 -,B-CMTY_NAME,I-PER_ATTR,0
1,p_80-ner-event-preanno_NL-HaNA_1.04.02_11012_0229-0251 - 1736 -,B-CMTY_NAME,I-PER_NAME,9
1,p_80-ner-event-preanno_NL-HaNA_1.04.02_11012_0229-0251 - 1736 -,B-CMTY_NAME,I-PRF,0
1,p_80-ner-event-preanno_NL-HaNA_1.04.02_11012_0229-0251 - 1736 -,B-CMTY_NAME,I-SHIP,0
1,p_80-ner-event-preanno_NL-HaNA_1.04.02_11012_0229-0251 - 1736 -,B-CMTY_NAME,I-SHIP_TYPE,0
1,p_80-ner-event-preanno_NL-HaNA_1.04.02_11012_0229-0251 - 1736 -,B-CMTY_NAME,I-STATUS,0
1,p_80-ner-event-preanno_NL-HaNA_1.04.02_11012_0229-0251 - 1736 -,B-CMTY_NAME,O,402
1,p_80-ner-event-preanno_NL-HaNA_1.04.02_11012_0229-0251 - 1736 -,B-CMTY_QUAL,B-CMTY_NAME,15
1,p_80-ner-event-preanno_NL-HaNA_1.04.02_11012_0229-0251 - 1736 -,B-CMTY_QUAL,B-CMTY_QUAL,97
1,p_80-ner-event-preanno_NL-HaNA_1.04.02_11012_0229-0251 - 1736 -,B-CMTY_QUAL,B-CMTY_QUANT,0
1,p_80-ner-event-preanno_NL-HaNA_1.04.02_11012_0229-0251 - 1736 -,B-CMTY_QUAL,B-DATE,0
1,p_80-ner-event-preanno_NL-HaNA_1.04.02_11012_0229-0251 - 1736 -,B-CMTY_QUAL,B-DOC,0
1,p_80-ner-event-preanno_NL-HaNA_1.04.02_11012_0229-0251 - 1736 -,B-CMTY_QUAL,B-ETH_REL,0
1,p_80-ner-event-preanno_NL-HaNA_1.04.02_11012_0229-0251 - 1736 -,B-CMTY_QUAL,B-LOC_ADJ,0
1,p_80-ner-event-preanno_NL-HaNA_1.04.02_11012_0229-0251 - 1736 -,B-CMTY_QUAL,B-LOC_NAME,0
1,p_80-ner-event-preanno_NL-HaNA_1.04.02_11012_0229-0251 - 1736 -,B-CMTY_QUAL,B-None,0
1,p_80-ner-event-preanno_NL-HaNA_1.04.02_11012_0229-0251 - 1736 -,B-CMTY_QUAL,B-ORG,0
